muertra 1;1mol;muestra 2;2mol;muestra 3;5mol;;6mol;;8mol;incognita;
lambda_1;abs_1;lambda_2;abs_2;lambda_5;abs_5;lambda_6;abs_6;lambda_8;abs_8;lambda_i;abs_i
384.83973;0.06246;384.83973;0.12082;384.83973;0.28157;384.83973;0.32932;384.83973;0.41406;384.83973;0.24062
385.30026;0.06294;385.30026;0.1209;385.30026;0.26662;385.30026;0.32989;385.30026;0.42443;385.30026;0.2343
385.76081;0.06299;385.76081;0.12168;385.76081;0.27068;385.76081;0.33039;385.76081;0.41562;385.76081;0.23646
386.22139;0.06258;386.22139;0.1261;386.22139;0.27806;386.22139;0.32897;386.22139;0.40608;386.22139;0.23697
386.682;0.05625;386.682;0.12268;386.682;0.27502;386.682;0.31798;386.682;0.4126;386.682;0.23476
387.14263;0.06056;387.14263;0.12119;387.14263;0.27684;387.14263;0.32849;387.14263;0.4031;387.14263;0.24148
387.6033;0.06651;387.6033;0.12731;387.6033;0.27858;387.6033;0.34111;387.6033;0.41598;387.6033;0.24534
388.06399;0.0672;388.06399;0.12889;388.06399;0.27951;388.06399;0.33834;388.06399;0.42149;388.06399;0.23972
388.5247;0.06436;388.5247;0.13229;388.5247;0.28197;388.5247;0.34205;388.5247;0.42875;388.5247;0.25008
388.98545;0.06136;388.98545;0.13032;388.98545;0.28043;388.98545;0.34861;388.98545;0.41305;388.98545;0.24997
389.44622;0.06491;389.44622;0.1279;389.44622;0.28447;389.44622;0.33496;389.44622;0.42893;389.44622;0.25514
389.90702;0.0631;389.90702;0.13322;389.90702;0.29417;389.90702;0.35969;389.90702;0.44042;389.90702;0.2528
390.36784;0.06989;390.36784;0.13637;390.36784;0.2988;390.36784;0.36156;390.36784;0.44689;390.36784;0.25941
390.8287;0.06825;390.8287;0.1386;390.8287;0.30786;390.8287;0.36431;390.8287;0.44946;390.8287;0.26842
391.28958;0.07265;391.28958;0.1371;391.28958;0.30858;391.28958;0.37385;391.28958;0.47026;391.28958;0.27223
